Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
Intel Core i3-8145U,Whiskey Lake-U,Core i3,1MB + 4MB,,15,2100 ‑ 3900,2/4,14,x86,,1942,UHD Graphics 620,~18.9,5158,5939,12432,1.77,4.01,148.5,351.5,296,657,,,10.52,638,13.1,463.9,1889,117.6,22.6,2.64,2.2,0.39,0.23,,,,,7459,3360,7420,4118,7859,995,2096,,,,,,104.85,28828.5,,,,
AMD Ryzen 3 3350U,Zen+,Picasso (Ryzen 3000 APU),2MB + 4MB,,15,2100 ‑ 3500,4/4,12,x86,,1804,Vega 6,~20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864,2455,,,,,,,,,
AMD Ryzen 3 3300U,Zen+,Picasso (Ryzen 3000 APU),2MB + 4MB,,15,2100 ‑ 3500,4/4,12,x86,,1804,Vega 6,~21.4,4332,4280,12357,,,134,471,337,921,,,12.82,709,11.94,404.6,2398,132.1,26.2,2.81,2.7,0.43,0.28,1212,,3340,12118,9508,3469,10170,3861,10787,843,2722,824,2578,,,,136.9,27764,,39.8,153.5,
AMD Ryzen 3 PRO 3300U,Zen+,Picasso (Ryzen 3000 APU),2MB + 4MB,,15,2100 ‑ 3500,4/4,12,x86,,1712,Vega 6,~20.9,,,,1.43,5.52,126,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 2300U,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,15,2000 ‑ 3400,4/4,14,x86,,2168,Vega 6,~14.9,,,,0.79,4.46,79,422.5,,,,,,,,,,,,,,,,,,,,,,,,,,,783,2360,,,,,,,,,
AMD Ryzen 3 PRO 2300U,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,15,2000 ‑ 3400,4/4,14,x86,,2168,Vega 6,~19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3387,8655,,,727,2156,,,,,,,,,
Intel Processor N97,Alder Lake-N,Alder Lake-N,+ 6MB,,12,‑ 3600,4/4,10,x86,,351,UHD Graphics 24EUs (Alder Lake-N),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Processor N95,Alder Lake-N,Alder Lake-N,+ 6MB,,15,‑ 3400,4/4,10,x86,,351,UHD Graphics Xe 16EUs (Tiger Lake-H),~21.9,5952,4783,13854,1.83,5.55,151,445,350,1030,914,2769,19.42,824.72,17.04,537.32,2319.5,162.15,32.4,3.18,2.7,0.5,0.24,1113,2186.5,3803,12177,,,,4450,10228,993,2531,999,2566,1227,2961,,,,,,178.3,126.75
Intel Processor N100,Alder Lake-N,Alder Lake-N,+ 6MB,,6,1000 ‑ 3400,4/4,10,x86,,351,UHD Graphics 24EUs (Alder Lake-N),~22.9,6438,5024,15271.5,1.85,5.59,153.9,477,357,1138,931,2983,19.31,818.56,15.85,489.22,2401.5,172.78,34.28,3.47,2.9,0.54,0.26,1038,2028,3908,13255,,,,4492.5,11101,1000.5,2807.5,1006,2865.5,1232,3236,,,,161.56,,181.4,136.2
Intel Core i3-8130U,Kaby Lake Refresh,Kaby Lake Refresh,1MB + 4MB,,15,2200 ‑ 3400,2/4,14,x86,,2129,UHD Graphics 620,~20,4720,5447.5,12157,1.63,3.77,139,338,348,774,,,11.09,661,14.3,485.5,2168,116.6,22.2,,2,0.36,0.21,,,,,7131,3288,7168.5,4000.5,7890.5,,,,,,,,187,27142.5,,43.6,153,
Intel Core i3-1000NG4,Ice Lake Y,Ice Lake,1MB + 4MB,,9,1100 ‑ 3200,2/4,10,x86,,1365,Iris Plus Graphics G4 (Ice Lake 48 EU),~20,3151,5771,9257,1.49,2.72,141,333,348,587,,,10.64,550,16.2,691,2468,,,2.23,,,,1814,,3438,7921,,,,4748,9090,1074,2035,1096,2028,,,,,39043,118.2,98.8,162,
Intel Core i3-1000G4,Ice Lake-Y,Ice Lake,1MB + 4MB,,9,1100 ‑ 3200,2/4,10,x86,,1597,Iris Plus Graphics G4 (Ice Lake 48 EU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i3-1000G1,Ice Lake-Y,Ice Lake,1MB + 4MB,,9,1100 ‑ 3200,2/4,10,x86,,1597,UHD Graphics G1 (Ice Lake 32 EU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i3-8121U,Cannon-Lake,Core i3,512KB + 4MB,,15,2200 ‑ 3100,2/4,10,x86,,2039,UHD Graphics 750,~20.5,4314,,,,,133,317.6,,,,,,,,,,,,,,,,,,,,,,,4195,7985,,,,,,,,,,,,,
HiSilicon Kirin 9000,Cortex-A77/-A55,,,,,2050 ‑ 3130,8/8,5,ARM,,1149,Mali-G78 MP24,~21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26597,79.6,84.6,147,
HiSilicon Kirin 9000E,Cortex-A77/-A55,,,,,2050 ‑ 3130,8/8,5,ARM,,1149,UHD Graphics 750,~17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24616,72.8,72.1,97,
Intel Core i7-10510Y,Comet Lake-Y,Comet Lake,512KB + 8MB,,7,1200 ‑ 4500,4/8,14,x86,,1566,UHD Graphics 617,~19.3,,,,,,,,250,845,,,,,,,,,,,,,,,,,,,,,,,,,1005,2728,,,,,,,,,
Intel Core i5-10310Y,Amber Lake-Y,Amber Lake,512KB + 6MB,,7,1100 ‑ 4100,4/8,14,x86,,1566,UHD Graphics 615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-10210Y,Amber Lake-Y,Amber Lake,512KB + 6MB,,7,1000 ‑ 4000,4/8,14,x86,,1566,UHD Graphics 615,~18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,2735,,,,,,,,,
Intel Core i5-L16G7,Lakefield,Lakefield,,,7,1400 ‑ 3000,5/5,10,x86,,1296,UHD Graphics G7 (Lakefield GT2 64 EU),~18.4,,4079,9003,1.42,3.18,89.5,255,282.5,647.5,710,1810,11.7,622,28.6,879,,,,1.46,,,,2026.5,,3211,7586.5,,,,,,,,826.5,1633.5,,,,,32455,85.8,76.1,124.5,
AMD Athlon Gold 7220U,Mendocino (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",1MB + 4MB,,15,2400 ‑ 3700,2/4,6,x86,,451,Radeon 610M,~21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,2159,,,,,,,,,
AMD Athlon Gold 7220C,Mendocino (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",1MB + 4MB,,15,2400 ‑ 3700,2/4,6,x86,,206,Radeon 610M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Exynos 2100 5G,Exynos X1 / Cortex-A78 / A55,Exynos,,,,2200 ‑ 2900,8/8,5,ARM,,1066,UHD Graphics 750,~32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,13062,,,4970,14476,,,1100,3364,,,,313.2,27275,66.3,84.1,114,
Qualcomm Snapdragon 870 5G,Cortex-A77 / A55 (Kryo 585),Snapdragon,1.8MB + 7MB,,5,2420 ‑ 3200,8/8,7,ARM,,1472,Adreno 650,~28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4411,11658,,,992.5,3188,1299,3357,5196,312.9,33694,92.45,70.42,127,83
Qualcomm Snapdragon 865+ (Plus),Cortex-A77 / A55 (Kryo 585),Snapdragon,1.8MB + 4MB,,5,2420 ‑ 3100,8/8,7,ARM,,1472,Adreno 650,~23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493,13066,,,980,3250.5,,,,,26700.5,72.15,71.1,119.5,
Qualcomm Snapdragon 865,Cortex-A77 / A55 (Kryo 585),Snapdragon,1.8MB + 4MB,,5,2420 ‑ 2840,8/8,7,ARM,,1472,Adreno 650,~26,,,,,,,,,,,,,,,,,,,,,,,,,,,10921,,,4278,13356,932,3450,910,3309,,,,312.5,23734,66.45,67.7,104,
MediaTek Dimensity 1300,Cortex-A78 / A55,,,,,2000 ‑ 3000,8/8,6,ARM,,646,Mali-G77 MP9,~14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,9050,,,,,,,415,2700,,,7485,,33879,66.96,59.7,65,
MediaTek Dimensity 8100,Cortex-A78 / A55,,,,,2000 ‑ 2850,8/8,6,ARM,,654,Mali-G610 MP6,~20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,11358,,,4422.5,15985.5,925,3743,907,3720,,,8158,,33238,81.17,72.4,106,86.5
MediaTek Dimensity 8050,Cortex-A78 / A55,,,,,2000 ‑ 3000,8/8,6,ARM,,215,Mali-G77 MP9,~20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348,11466,,,867.5,2852,1036,3173,6101,,31904,88,76.2,89,76
MediaTek Dimensity 1200,Cortex-A78 / A55,,,,,2000 ‑ 3000,8/8,6,ARM,,1059,Mali-G77 MP9,~16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,11256,,,4294,13528,850,3023,833,2689.5,,,5166,,28059.5,51.45,52.15,69.5,
MediaTek Kompanio 1300T,Cortex-A78 / A55,,,,,2000 ‑ 2600,8/8,6,ARM,,646,Mali-G77 MP9,~17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,2669,,,,,28601,64.89,48.9,75,63
Intel Core i7-8500Y,Amber Lake-Y,Amber Lake,512KB + 4MB,,5,1500 ‑ 4200,2/4,14,x86,,1933,UHD Graphics 615,~17.6,3056,5027,8706,1.45,2.49,130.5,246.5,312,587.5,,,9.34,657,15.51,673,2483,83.3,14.07,2.12,2.2,0.36,0.22,1965.5,,4367.5,10709,,3245,5614,4397.5,7224,858,1504,,,,,,,24631.5,,,,
Intel Core i3-10110Y,Amber Lake-Y,Amber Lake,512KB + 4MB,,7,1000 ‑ 4000,2/4,14,x86,,1566,UHD Graphics 615,~22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,1633,,,,,,,,,
Intel Core i5-8210Y,Amber Lake-Y,Amber Lake,512KB + 4MB,,7,1600 ‑ 3600,2/4,14,x86,,1872,UHD Graphics 617,~21.5,3544,,,,,129.5,269.5,312,601,,,,,,,,,,2.26,,,,1680,,3405,7936,,,,4162,7474,660,1433,,,,,,,33003,96.3,82.6,,
Intel Core i5-8200Y,Amber Lake-Y,Amber Lake,512KB + 4MB,,5,1300 ‑ 3900,2/4,14,x86,,1933,UHD Graphics 615,~24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,7913,,,900,1934,,,,,,,,,
Intel Core i3-10100Y,Amber Lake-Y,Amber Lake,512KB + 4MB,,5,1300 ‑ 3900,2/4,14,x86,,1933,UHD Graphics 615,~18.5,,5292,9659,1.39,2.53,122,220,303,536,788,1375,10.7,667,15.98,632,1683,,,2.01,1.8,0.34,0.2,1825,,3535,8262,,,,4359,7643,,,986,1889,,,,,34086,98.9,97.9,148,
AMD Athlon Silver 7120U,Mendocino (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",1MB + 2MB,,15,2400 ‑ 3500,2/2,6,x86,,451,Radeon 610M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon Silver 7120C,Mendocino (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",1MB + 2MB,,15,2400 ‑ 3500,2/2,6,x86,,451,Radeon 610M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i3-L13G4,Lakefield,Lakefield,1.5MB + 4MB,,10,800 ‑ 2800,5/5,10,x86,,1283,UHD Graphics G4 (Lakefield GT1 48 EU),~18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,1349,,,,,,,,,
AMD Ryzen 3 3250U,Zen,Picasso (Ryzen 3000 APU),1MB + 4MB,,15,2600 ‑ 3500,2/4,14,x86,,1439,Vega 3,~20.6,3966,4088,10251,1.46,3.95,121.6,353,300,783,776,2010,12.72,668,14.5,457.3,1710,101,21.1,2.16,1.9,0.32,0.23,1399,2541,3291,9063,,,,3829,7396,868,1838,824,1662,,,,313.8,35541,100.6,97.2,140.15,105.2
AMD Ryzen Embedded R1606G,Zen,Raven Ridge (Ryzen 2000 APU),1MB + 4MB,,15,2600 ‑ 3500,2/4,14,x86,,1735,Vega 3,~25.8,,,,,,139,317,350,710,888,1842,,,,,,,,2,,,,1456,,3528,8969,,,,,,,,877,1903,,,,,,,,148,
AMD Ryzen 3 3200U,Picasso-U (Zen),Picasso (Ryzen 3000 APU),1MB + 4MB,,15,2600 ‑ 3500,2/4,14,x86,,1804,Vega 3,~19.4,3755,4258,9284,,,129,334,301,690,765,1786,12.52,730,14.03,483.5,1613,97.8,19.5,1.96,2.2,0.36,0.23,1485,,3372,9081.5,7816,3282,6922,3562,7143,826.5,1649,796.5,1651.5,,,,130.3,23991,,36.1,139,
AMD Ryzen 3 2200U,Zen,Raven Ridge (Ryzen 2000 APU),1MB + 4MB,,15,2500 ‑ 3400,2/4,14,x86,,2168,Vega 3,~17.3,3386.5,3977.5,7775.5,1.15,2.99,117,312,,,,,12.98,756.5,14.27,459.3,1545,92,17.8,,2.1,0.32,0.21,,,,,7422,2925,6826.5,3583,6937,,,667,1267,,,,115.9,22930,,,,
AMD Ryzen 3 PRO 2200U,Zen,Raven Ridge (Ryzen 2000 APU),1MB + 4MB,,15,2500 ‑ 3400,2/4,14,x86,,2168,Vega 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 5125C,Barcelo (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",1MB + 8MB,,15,3000,2/4,7,x86,,589,Vega 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon Gold 3150U,Dali (Zen),Picasso (Ryzen 3000 APU),1MB + 4MB,,15,2400 ‑ 3300,2/4,14,x86,,1438,Vega 3,~16.1,4189,3639,7566,1.36,3.99,117,352,303,795,,,13.86,727,40.13,1280,1631,106.6,22.47,2.03,2.2,0.35,0.22,1348,,3065,8752,,,,,,,,751,1847,,,,,,,,,
AMD Ryzen Embedded R1505G,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,10,2400 ‑ 3300,2/4,14,x86,,1703,Vega 3,~18.2,,,,,,97.3,264,243,596,,,,,,,,,,0.65,,,,1725,,2505,6931,,,,2667,5478,616,1370,612,1353,,,,,,,,106,
Intel Pentium Gold 6405U,Comet Lake-U,Comet Lake,1MB + 2MB,,15,2400,2/4,14,x86,,1506,UHD Graphics 610,~13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,1320,,,,,,,,,
Intel Celeron 7305,Alder Lake-U,Alder Lake-M,3.5MB + 8MB,,15,900 ‑ 1100,5/5,10,x86,,715,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Celeron 6305,Tiger Lake-U,Tiger Lake,2.5MB + 4MB,,15,1800,2/2,10,x86,,1200,UHD Graphics Xe G4 48EUs,~15.2,,3465,6611,0.99,1.93,83.95,161.05,217,416,566.5,1071.5,18.83,904.72,39.12,1231.05,1210,61.9,11.25,1.7,0.92,0.13,0.07,2834,,2237.5,4262.5,,,,2824.5,4949.5,628.5,1183.5,638,1198,,,,326.7,21416,72.43,72.43,100.7,
Intel Celeron 7300,Alder Lake-U,Alder Lake-M,3.5MB + 8MB,,9,700 ‑ 1000,5/5,10,x86,,715,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon PRO 300U,Zen+,Raven Ridge (Ryzen 2000 APU),1MB + 4MB,,15,2400 ‑ 3300,2/4,12,x86,,1711,Vega 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Athlon 300U,Zen,Raven Ridge (Ryzen 2000 APU),1MB + 4MB,,15,2400 ‑ 3300,2/4,12,x86,,1804,Vega 3,~16.6,,3968,8724,,,119,308,308,637,,,14.09,807,15.44,510,1623,88.6,18.5,1.77,1.9,0.29,0.21,,,,,6868,2919,6134,3287,6053,765,1552,867,1840,,,,133.6,22253,,33.51,143,
AMD Athlon Silver 3050U,Dali (Zen),Picasso (Ryzen 3000 APU),1MB + 4MB,,15,2300 ‑ 3200,2/2,14,x86,,1438,Vega 2,~17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,1429,,,,,,,,,
Intel Celeron 6205,Tiger Lake U,Tiger Lake,2.5MB + 4MB,,15,,2/2,10,x86,,1200,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple A12 Bionic,,Apple A-Series,8MB,,,‑ 2490,6/6,7,ARM,,1920,A12 Bionic GPU,~28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774,11480,1118,2910,1117.5,2814.5,,,486197,,42333.5,109.75,123.5,159.5,
Qualcomm Snapdragon 7 Gen 1,Cortex-A710 / A510,Snapdragon,,,,1800 ‑ 2400,8/8,4,ARM,,574,Adreno 644,~17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3646,11669,802,2970,786,2912.5,1057.5,3017,6056,,30021,86.23,67.2,110,79
Qualcomm Snapdragon 780G 5G,Kryo 670 (Cortex-A78/A55),Snapdragon,,,,1900 ‑ 2400,8/8,5,ARM,,995,Adreno 642,~21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,9815,,,3674,11965,,,809,2998,,,,,26943,75.8,70.8,106,
Google Tensor G2,Cortex X1 / A76 / A55,,+ 4MB,,,1800 ‑ 2850,8/8,5,ARM,,435,Mali-G710 MP7,~29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4782,12839.5,1069,3276.5,1049,3217,1450,3600,,300.65,44948,104.66,125,98,98
Google Tensor,Exynos X1 / Cortex-A76 / A55,,+ 4MB,,,1800 ‑ 2800,8/8,5,ARM,,774,Mali-G78 MP20,~25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815,11589,,,1041,2940,,,,,43376,90.1,104,105,72
HiSilicon Kirin 990 5G,Cortex-A76/-A55,,,,,‑ 2860,8/8,7,ARM,,1561,Mali-G76 MP16,~24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,11668.5,,,3925,12549,769,3083,772.5,3076.5,,,,345.4,22343,62.7,67.45,98,
MediaTek Dimensity 8200-Ultra,Cortex-A78 / A55,,+ 4MB,,,2000 ‑ 3100,8/8,4,ARM,,206,Mali-G610 MP6,~24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4858,16050,998,3889,1018,3833,1252,4034,,,42222,96.18,112,123,107
HiSilicon Kirin 990,Cortex-A76/-A55,,,,,‑ 2860,8/8,7,ARM,,1561,Mali-G76 MP16,~19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,11581,,,3881.5,12082.5,783,3059,770,2977.5,,,261357,,21726.5,60.5,69,108,
Samsung Exynos 990,Exynos M5 / Cortex A-76 / Cortex-A55,Exynos,,,,2000 ‑ 2730,8/8,7,ARM,,1757,UHD Graphics 750,~29,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,4878,12559,,,940,2787,,,,478.8,19122,53.9,63.25,97,
MediaTek Dimensity 8020,Cortex-A78 / A55,,,,,2000 ‑ 2600,8/8,6,ARM,,654,Mali-G77 MP9,~19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3906,12596,836,3280,835,3310,1120,3617,,,28282,67.26,69.9,87,78
MediaTek Dimensity 1100,Cortex-A78 / A55,,,,,2000 ‑ 2600,8/8,6,ARM,,1059,Mali-G77 MP9,~16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,2500,,,,,,,,,
Qualcomm Snapdragon 860,Cortex-A76 / A55 (Kryo 485),Snapdragon,1.8MB + 5MB,,5,‑ 2960,8/8,7,ARM,,1625,Adreno 640,~17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3398,10570,,,756,2712.5,1037,3038,3913,,26179,67.5,60.15,93,
Qualcomm Snapdragon 7c Gen 2,Cortex-A76 / A55 (Kryo 468),Snapdragon,,,7,2550,8/8,8,ARM,,943,Adreno 618,~12.3,755,511,3053,0.32,1.88,,,116.8,347,307,992,22.82,1132,,,1226,,,0.61,,,,3620,,2046,7703,,,,1580,3667,,,1046.5,3483.5,,,,,20737,62.9,,95,
Qualcomm Snapdragon 855+ / 855 Plus,Cortex-A76 / A55 (Kryo 485),Snapdragon,1.8MB + 5MB,,5,‑ 2960,8/8,7,ARM,,1625,Adreno 640,~18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,9887,,,3654,10546.5,787.5,2846.5,751,2658.5,,,249792,,24571,65.3,64.45,98,
Qualcomm Snapdragon 7c,Cortex-A76 / A55 (Kryo 468),Snapdragon,,,7,2400,8/8,8,ARM,,943,Adreno 618,~13.9,,1381,3518,0.75,2.4,,,114,323,321,830,29.56,1436,36.68,906,1000,47.9,8.4,0.63,,,,3895,,2059,7459,,,,1579,3470,305,845,620,1725,,,,384.75,22523,62.1,44.57,83.5,
Qualcomm Snapdragon 855,Cortex-A76 / A55 (Kryo 485),Snapdragon,1.8MB + 5MB,,5,2840,8/8,7,ARM,,1836,Adreno 640,~25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,8574.5,2891,9555,3491,10987.5,742,2589.5,744,2666,1008,2757,246456,384.2,24044,59.15,64.2,106.5,
Apple A11 Bionic,Monsoon / Mistral,Apple A-Series,8MB,,,‑ 2390,6/6,10,ARM,,2285,A11 Bionic GPU,~30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4263,10380,935,2510,927,2339,,,453409,149,35209,96.7,91.5,130,
Qualcomm QCM6490,Kryo 670 (Cortex-A78/A55),Snapdragon,,,,1960 ‑ 2710,8/8,6,ARM,,855,Adreno 643,~25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3822,11172,,,870,2944,1129,2999,,,38966,115.42,93.9,151,116
Qualcomm Snapdragon 778G+ 5G,Kryo 670 (Cortex-A78/A55),Snapdragon,,,,1900 ‑ 2500,8/8,6,ARM,,562,Adreno 642L,~20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760,11342,,,824,2929,,,6514,,32109,90.28,63.69,116,93
Qualcomm Snapdragon 778G 5G,Kryo 670 (Cortex-A78/A55),Snapdragon,,,,1800 ‑ 2400,8/8,6,ARM,,940,Adreno 642L,~17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,11003,,,787,2889,,,4438.5,,25445,74.4,55,105.5,73.5
Qualcomm Snapdragon 778G 4G,Kryo 670 (Cortex-A78/A55),Snapdragon,,,,1800 ‑ 2400,8/8,6,ARM,,940,Adreno 642L,~18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3557.5,11874,,,788,3019.5,1008,2418,6336,,25361,74.88,56.6,109,79
Samsung Exynos 1380,ARM Cortex-A55 / A78,Exynos,,,,2000 ‑ 2400,8/8,5,ARM,,281,Mali-G68 MP5,~33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555.5,11160,,,778,2728,1017,2878.5,591842,187,34739,102.6,75.3,124.5,107
MediaTek Dimensity 1000+,Cortex-A77 / A55,,,,,2000 ‑ 2600,8/8,7,ARM,,1306,Mali-G77 MP9,~19,,,,,,,,,,,,,,,,,,,,,,,,,,,10598,,,3688,11987,,,796,2762,,,,,21933,48.35,50.9,73,
Apple A10X Fusion,Cyclone 4?,Apple A-Series,,,,2390,6/3,10,ARM,,2382,A10X Fusion GPU,~21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3928.5,9325.5,,,850,2324,,,82837.5,,30760.5,,,,
MediaTek Dimensity 7050,Cortex-A78 / A55,,,,,2000 ‑ 2600,8/8,6,ARM,,228,Mali-G68 MP4,~16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737,9132.5,762,1960,833,2318,957,2407,5412,,31801,82.97,77.75,90,72
MediaTek Dimensity 1080,Cortex-A78 / A55,,,,,2000 ‑ 2600,8/8,6,ARM,,856,Mali-G68 MP4,~16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3754.5,8894,786,2342,765,2041,954,2229,5411,,31662,71.87,62.9,102,74
MediaTek Dimensity 7030,Cortex-A78 / A55,,,,,2000 ‑ 2500,8/8,6,ARM,,113,Mali-G610 MP3,~20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3505,8625,,,789,2197,893,2214,5405,,34140,102.38,91.6,121,106
MediaTek Dimensity 920,Cortex-A78 / A55,,,,,2000 ‑ 2500,8/8,6,ARM,,856,Mali-G68 MP4,~14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440,8397,,,775.5,2097.5,,,5110,,18244,48.56,46.05,58,46
MediaTek Dimensity 930,Cortex-A78 / A55,,,,,2000 ‑ 2200,8/8,6,ARM,,571,IMG BXM-8-256,~14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272,8224,705,1919,669.5,1848,,,4563,,23554,70.9,51.27,101.5,77.5
MediaTek Dimensity 7020,Cortex-A78 / A55,,,,,2000 ‑ 2500,8/8,6,ARM,,113,IMG BXM-8-256,~17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3264,8148,703,1908,697,1903,916,2315,,,28919,85.94,76.5,120,97
MediaTek MT8188J,Cortex-A78 / A55,,,,,2000 ‑ 2200,8/8,12,ARM,,289,Mali-G57 MP2,~17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315,7741,711,2065,702,2070,949,2363,,,24222,74.31,65.6,122,75
MediaTek Dimensity 900,Cortex-A78 / A55,,,,,2000 ‑ 2400,8/8,6,ARM,,1306,Mali-G68 MP4,~18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3502.5,9026,,,734,2161,,,219220,,25580,53.76,49.6,68.5,54
MediaTek Dimensity 820,Cortex-A76 / A55,,,,,2000 ‑ 2600,8/8,7,ARM,,1306,Mali-G57 MP5,~16,,,,,,,,,,,,,,,,,,,,,,,,,,,7836,,,3022,10658,,,652,2678,,,,,18974,44.97,47.6,65,
